ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,0,0,0,12,12,-3,10,1
3,90,-45,0,11,11,-3.5,25,1
1,0,0,45,5,5,-3.8,50,1
3,180,0,0,3,3,-0.3,25,1
1,0,0,45,2,1,-0.8,50,1
3,-180,0,0,3,1,-0.9,25,1
1,0,0,30,2,2,-1.8,50,1
3,180,0,0,0.3,0.4,-1.6,25,1
1,0,0,60,0.2,0.4,-1.3,50,1
3,-180,0,0,0.5,0.5,-2,25,1
1,0,0,18,0.4,0.7,-0.44,50,1
3,180,0,0,0.2,0.1,-0.586,25,1
1,0,0,6,0.8,0.1,-1,50,1
3,-180,0,0,0.3,0.6,-0.34,25,1
1,0,0,30,0.42,0.48,-0.22,50,1
5,0,0,60,0.34,0.34,-1,10,1
1,0,0,0,12,12,-3,10,1
3,90,-45,0,11,11,-3.5,25,1
1,0,0,45,5,5,-3.8,50,1
3,180,0,0,3,3,-0.3,25,1
1,0,0,45,2,1,-0.8,50,1
3,-180,0,0,3,1,-0.9,25,1
1,0,0,30,2,2,-1.8,50,1
3,180,0,0,0.3,0.4,-1.6,25,1
1,0,0,60,0.2,0.4,-1.3,50,1
3,-180,0,0,0.5,0.5,-2,25,1
1,0,0,18,0.4,0.7,-0.44,50,1
3,180,0,0,0.2,0.1,-0.586,25,1
1,0,0,6,0.8,0.1,-1,50,1
3,-180,0,0,0.3,0.6,-0.34,25,1
1,0,0,30,0.42,0.48,-0.22,50,1
5,0,0,60,0.34,0.34,-1,10,1
1,0,0,0,12,12,-3,10,1
3,90,-45,0,11,11,-3.5,25,1
1,0,0,45,5,5,-3.8,50,1
3,180,0,0,3,3,-0.3,25,1
1,0,0,45,2,1,-0.8,50,1
3,-180,0,0,3,1,-0.9,25,1
1,0,0,30,2,2,-1.8,50,1
3,180,0,0,0.3,0.4,-1.6,25,1
1,0,0,60,0.2,0.4,-1.3,50,1
3,-180,0,0,0.5,0.5,-2,25,1
1,0,0,18,0.4,0.7,-0.44,50,1
3,180,0,0,0.2,0.1,-0.586,25,1
1,0,0,6,0.8,0.1,-1,50,1
3,-180,0,0,0.3,0.6,-0.34,25,1
1,0,0,30,0.42,0.48,-0.22,50,1
5,0,0,60,0.34,0.34,-1,10,1
